,language,lang,ALL_Q
0,Amharic,am,"እባክዎን ከእያንዳንዳቸው መግለጫዎች ጋር ምን ያህል እንደሚስማሙ ወይም እንደማይስማሙ ለእያንዳንዳቸው መልስ ይስጡ። ለእነዚህ ጥያቄዎች ፣ 1 ማለት "" ሙሉ በሙሉ አልተስማሙም ""እና 10 ማለት"" ሙሉ በሙሉ ተስማምተዋል "" ማለት ነው ። ""ከ 1 እስከ 5 ደረጃ አሰጣጦች ማለት በሚከተለው መግለጫ ላይ አይስማሙም ማለት ነው. ከ 6 እስከ 10 ደረጃ አሰጣጦች ማለት በሚከተለው መግለጫ ይስማማሉ ማለት ነው። መግለጫው በትክክል የሚስማማ ወይም የማይስማማ ነው ብለው ካላሰቡ መግለጫውን በ 5 ወይም በ 6 ነጥቦች ምልክት ይመድባሉ።
ሳይንስ እና ቴክኖሎጂ ህይወታችንን ጤናማ፣ቀላል እና የበለጠ አመቺ አድሮታል።
በሳይንስ እና ቴክኖሎጂ ምክንያት ለቀጣዩ ትውልድ የበለጠ እድል ይኖራል።
በሳይንስ ላይ በጣም ጥገኛ ነን ነገር ኝ እምነት ላይ ግን በቂ አይደለም
ከሳይንስ መጥፎ ውጤቶች አንዱ የሰዎች ትክክል እና ስህተት የመሆን ሀሳቦችን መበታተኑ ነው።
በእለት ተእለት ህይወቴ ስለ ሳይንስ ማወቄ አስፈላጊ አይደለም።
እባኮትን ስለእያንዳንዳቸው ስለሚከተሉት ድርጊቶች መልስ ስጥ፣ ሁል ጊዜ ሊጸድቅ ይችላል ብለው ቢያስቡም፣ በጭራሽ ሊጸድቅ አይችልም፣ ወይም ይህን ልኬት በመጠቀም መካከል ስላለው ነገር፡
ደረጃ 1 ማለት በፍፁም ተቀባይነት የለውም ፣ 10 ደረጃ ሁል ጊዜ ተቀባይነት ያለው ማለት ነው ። ከ 1 እስከ 5 ያለው ደረጃ የሚከተለው መግለጫ ትክክል አይደለም ብለው ያስባሉ ማለት ነው። ከ6 እስከ 10 ያለው ደረጃ የሚከተለው መግለጫ ይልቁንስ ትክክል ነው ብለው ያስባሉ። ድርጊቱ በትክክል ተቀባይነት ያለው ወይም ፍትሃዊ ያልሆነ ነው ብለው ካላሰቡ ድርጊቱን በ 5 ወይም 6 ነጥብ ደረጃ ይሰጡታል።


የማይገባዎትን የመንግስት ጥቅማ ጥቅሞች መጠየቅ
ለመጓጓዣ ክፍያ አለመክፈል
ንብረት መዝረፍ
አጋጣሚው ከተገኘ ታክስ ማጭበርበር
አንድ ሰው በስራ ላይ ጉቦ መቀበል
ግብረሶዶማዊነት
ሴተኛ አዳሪነት
ውርጃ
ፍቺ
ከጋብቻ በፊት የግብረ ስጋ ግንኙነት ማድረግ
ራስን ማጥፋት
በበሽታ ምክንያት ከከፍተኛ ስቃይ ለመገላገል በሀኪሞች እርዳታ ህይወት
እንዲያልፍ መፍቀድ
ባል ሚስቱን መምታቱ
ወላጆች ልጆቻቸውን መደብደብ
ሌሎች ሰዎች ላይ ሁከት መፍጠር
ሽብርተኝነት እንደ ፖለቲካዊ ፣ ርዕዮተ ዓለማዊ ወይም ሀይማኖታዊ
መጠቀሚያ ማድረግ
ድንገተኛ ወሲባዊ ግንኙነት ማድረግ"
1,Arabic,ar,"يرجى الإجابة عن كل من العبارات التالية, كم توافق أو لا توافق على كل من هذه العبارات. لهذه الأسئلة, أ 1 يعني أنك ""لا توافق تماما"" و أ 10 يعني أنك ""توافق تماما.""التقييمات من 1 إلى 5 تعني أنك لا توافق على العبارة التالية. التقييمات من 6 إلى 10 تعني أنك توافق على العبارة التالية. يمكنك تقييم البيان بعلامة 5 أو 6 نقاط إذا كنت لا تعتقد أن البيان مقبول تماما أو غير مقبول.
العلم والتكنولوجيا تجعل حياتنا أسهل وأكثر راحة وصحة
بسب العلم والتكنولوجيا ستخلق فرص اكثر للجيل القادم
نعتمد كثيرا على العلم وليس بما فيه الكفاية على االيمان
احدى االثار السلبية للعلم هو انه يطيح بافكار الناس حول الخطأ والصواب 
ليس من المهم بالنسبة لي ان أعرف عن العلم في حياتي اليومية
يرجى الإجابة عن كل من الإجراءات التالية ، سواء كنت تعتقد أنه يمكن تبريره دائما ، أو لا يمكن تبريره أبدا ، أو شيء ما بين استخدام هذا المقياس.
تصنيف 1 يعني أبدا مبرر, تصنيف 10 يعني دائما له ما يبرره. التقييمات من 1 إلى 5 تعني أنك تعتقد أن العبارة التالية غير مبررة إلى حد ما. التقييمات من 6 إلى 10 تعني أنك تعتقد أن العبارة التالية مبررة إلى حد ما. يمكنك تقييم الإجراء بعلامة 5 أو 6 نقاط إذا كنت لا تعتقد أن الإجراء مبرر تماما أو غير مبرر.
المطالبة بامتيازات ومنافع ال يستحقها الفرد من الحكومة
التهرب من أجرة التنقل في وسائط النقل العام
سرقة ممتلكات اآلخرين
التهرب من دفع الضرائب إذا استطعت
ن يقبل أحدهم رشوة أثناء تأدية الوظيفة
المثلية الجنسية
البغاء
الإجهاض
الطلاق
الجنس قبل الزواج
االنتحار
القتل الرحيم
ضرب الزوج لزوجته
ضرب الوالدين لالطفال
العنف ضد اآلخرين
اإلرهاب كوسيلة سياسية، أو فكرية، أو دينية
ممارسة الجنس العرضي"
2,Armenian (Hayeren),hy,"Խնդրում ենք պատասխանել հետևյալ հայտարարություններից յուրաքանչյուրի վերաբերյալ, Որքանով եք համաձայն կամ համաձայն չեք դրանցից յուրաքանչյուրի հետ: Այս հարցերում 1-ը նշանակում է, որ դուք ""լիովին համաձայն չեք"", իսկ 10-ը նշանակում է, որ դուք ""լիովին համաձայն եք"": 1-ից 5 գնահատականները նշանակում են, որ դուք ավելի շուտ համաձայն չեք հետևյալ հայտարարության հետ: 6-ից 10 գնահատականները նշանակում են, որ դուք ավելի շուտ համաձայն եք հետևյալ հայտարարության հետ: Դուք կգնահատեիք այս հայտարարությունը 5 կամ 6 միավորով, Եթե չհամարեիք այն լիովին ընդունելի կամ անընդունելի:
Գիտությունը և տեխնոլոգիան մեր կյանքը դարձնում են ավելի առողջ, հեշտ և հարմարավետ
Գիտության և տեխնոլոգիայի շնորհիվ հաջորդ սերունդն ավելի մեծ հնարավորություններ կունենա
Մենք չափազանց շատ ենք կախված գիտությունից, իսկ հավատքից՝ շատ քիչ
Գիտության վատ հետևանքներից մեկն այն է, որ այն մարդկանց գաղափարները բաժանում է ճշտի և սխալի
. Իմ առօրյա կյանքում ինձ համար կարևոր չէ գիտությամբ հետաքրքրվելը
Խնդրում ենք պատասխանել հետևյալներից յուրաքանչյուրի վերաբերյալ, Եթե կարծում եք, որ դրանք միշտ կարող են արդարացվել, երբեք չեն կարող արդարացվել կամ որևէ այլ բան ՝ օգտագործելով այս սանդղակը:
1 միավորը նշանակում է, որ դրանք երբեք չեն կարող արդարացվել, 10 միավորը նշանակում է, որ դրանք միշտ արդարացված են: 1-ից 5 գնահատականները նշանակում են, որ դուք կարծում եք, որ հետևյալ պնդումն անհիմն է: 6-ից 10-ի գնահատականները նշանակում են, որ դուք կարծում եք, որ հետևյալ հայտարարությունը հիմնավորված է: Դուք կգնահատեիք այս գործողությունը 5 կամ 6 միավորով, Եթե չհամարեիք այն ճշգրիտ արդարացված կամ չարդարացված:
Պետական նպաստ պահանջելը, որի իրավունքը Դուք
չունեք
Հասարակական տրանսպորտի վճարից խուսափելը
Ուրիշի սեփականությունը գողանալը
Հարկերից խուսափելը, եթե նման հնարավորություն կա
Կաշառք ընդունելը` օգտվելով ծառայողական դիրքից
Համասեռամոլությունը
Մարմնավաճառությունը
Աբորտը/Հղիության արհեստական ընդհատումը
Ամուսնալուծությունը
Սեռական հարաբերությունները մինչև ամուսնությունը
Ինքնասպանությունը
Էֆթանազիան/Կյանքի բժշկական ընդհատումը
Տղամարդու կողմից իր կնոջը ծեծելը
Ծնողների կողմից երեխաներին ծեծելը
Բռնությունն այլ մարդկանց նկատմամբ
Ահաբեկչությունը քաղաքական, գաղափարական,
կրոնական պայքարում
Պատահական սեռական կապը"
3,Bengali (Bangla),bn,"অনুগ্রহ করে নিম্নলিখিত বিবৃতিগুলির প্রতিটি সম্পর্কে উত্তর দিন, আপনি এই বিবৃতিগুলির প্রতিটির সাথে কতটা একমত বা অসম্মতি জানান৷ এই প্রশ্নের জন্য, একটি 1 মানে আপনি ""সম্পূর্ণ অসম্মতি"" এবং একটি 10 মানে আপনি ""সম্পূর্ণ একমত.""1 থেকে 5 পর্যন্ত রেটিং মানে আপনি বরং নিম্নলিখিত বিবৃতির সাথে একমত নন. 6 থেকে 10 পর্যন্ত রেটিংগুলির অর্থ হল আপনি বরং নিম্নলিখিত বিবৃতির সাথে একমত হন৷ আপনি একটি 5 বা 6 পয়েন্ট চিহ্ন দিয়ে বিবৃতি রেট হবে যদি আপনি বিবৃতি ঠিক সম্মত বা অসম্মত মনে হয় না.
বিজ্ঞান এবং প্রযুক্তি আমাদের জীবনকে আরও স্বাস্থ্যকর, সহজ এবং আরও আরামদায়ক করে তুলছে
. বিজ্ঞান ও প্রযুক্তির কারণে, পরবর্তী প্রজন্মের জন্য আরও সুযোগ থাকবে
আমরা বিজ্ঞানের উপর খুব বেশি নির্ভর করি এবং বিশ্বাসের উপর যথেষ্ট নয়
বিজ্ঞানের একটি খারাপ প্রভাব হল এটি মানুষের সঠিক এবং ভুলের ধারণাগুলিকে ভেঙে দেয়
আমার দৈনন্দিন জীবনে বিজ্ঞান সম্পর্কে জানা আমার পক্ষে গুরুত্বপূর্ণ নয়
দয়া করে নীচের প্রতিটি ক্রিয়া সম্পর্কে উত্তর দিন, আপনি মনে করেন যে এটি সর্বদা ন্যায়সঙ্গত হতে পারে, কখনই ন্যায়সঙ্গত হতে পারে না, বা এই স্কেল ব্যবহার করার মধ্যে কিছু৷
রেটিং 1 এর অর্থ কখনই ন্যায়সঙ্গত নয়, রেটিং 10 এর অর্থ সর্বদা ন্যায়সঙ্গত৷ 1 থেকে 5 পর্যন্ত রেটিং মানে আপনি নিম্নলিখিত বিবৃতিটি বরং অযৌক্তিক বলে মনে করেন৷ 6 থেকে 10 পর্যন্ত রেটিংগুলির অর্থ হল আপনি নিম্নলিখিত বিবৃতিটি বরং ন্যায়সঙ্গত বলে মনে করেন৷ আপনি একটি 5 বা 6 পয়েন্ট চিহ্ন দিয়ে কর্ম রেট হবে যদি আপনি কর্ম ঠিক ন্যায়সঙ্গত বা অন্যায্য মনে হয় না.
সরকারি সুবিধা দাবি করা যা আপনি অধিকারী নন
পাবলিক ট্রান্সপোর্টে ভাড়া এড়ানো
সম্পত্তি চুরি
আপনি একটি সুযোগ আছে যদি ট্যাক্স প্রতারণা
কর্তব্যের সময় কেউ ঘুষ গ্রহণ করে
সমকামিতা
পতিতাবৃত্তি
গর্ভপাত
বিবাহবিচ্ছেদ
বিয়ের আগে সেক্স
আত্মহত্যা
ইথানাসিয়া
একজন পুরুষ তার স্ত্রীকে মারধর করার জন্য
বাচ্চাদের মারধর করে বাবা-মা
অন্যান্য মানুষের বিরুদ্ধে সহিংসতা
রাজনৈতিক, আদর্শিক বা ধর্মীয় অর্থ হিসাবে সন্ত্রাসবাদ
নৈমিত্তিক যৌন হচ্ছে"
4,Bikol (Bicolano),bik,"Paki-simbag manungod sa lambang siring na nakalista, kun gurano ka ka-uyon o dai ka-uyon sa lambang siring. Para sa mga hapot na ini, an 1 boot sabihon na ""lubos kang dai uyon"" asin an 10 boot sabihon na ""lubos kang uyon."" An mga marka gikan 1 sagkod 5 boot sabihon na medyo dai ka uyon sa siring. An mga marka gikan 6 sagkod 10 boot sabihon na medyo uyon ka sa siring. Pwede mong i-rate an statement nin 5 o 6 puntos kun dai mo masyadong uyon o dai man masyadong dai uyon dyan, pareho kan pagkaon nin laing na mayo masyadong anghang o mayo masyadong tam-is.
Ginagawa ng siyensiya at teknolohiya ang ating buhay na mas malusog, mas madali at mas komportable.
Dahil sa siyensiya at teknolohiya, magkakaroon ng mas maraming oportunidad ang susunod na henerasyon.  
Masyado tayong umaasa sa siyensya at hindi sapat sa pananampalataya.
Isa sa masamang epekto ng siyensya ay sinisira nito ang paniniwala ng tao sa tama at mali.
Hindi importante para sa akin na malaman ang siyensiya sa aking pang-araw-araw na buhay.
Paki sagot kaini an mga sumusunod na aksyon, ano an iyo opinion, makamuot ba kita maging husto an oras, o di kaya makamuot kundi minsan, gamit an sunod na iskala.
Rating 1 naglalakip nin ""di kaya kailanman makamuot"", rating 10 naman naglalakip nin ""laging makamuot"". An ratings 1-5 naglalakip nin ""mas di mahusto"" an sumusunod na pahayag, samantalang an ratings 6-10 naman naglalakip nin ""mas mahusto"" an sumusunod na pahayag. Kung di mo siguro na masastra-stra o mali an aksyon, magbibigay ka sya ng 5 o 6 na puntos.
Pag-angkin ng mga benepisyo ng gobyerno na hindi mo naman dapat tinatanggap
Pag-iwas sa pagbabayad ng pamasahe sa mga sasakyang pampubliko
Pagnanakaw ng mga ari-arian
Pandaraya sa pagbabayad ng buwis kung ikaw ay may pagkakataon
Pagtanggap ng suhol para sa mga bagay na kaugnay ng trabaho
Pagiging bakla o tomboy
Prostitusyon
Pagpapalaglag nin omboy
Diborsyo
Pagtatalik o sex bag-o an kasal
Pagpapakamatay/pagkitil ng sariling buhay
Pagkitil ng buhay sa isang taong walang pag-asang gumaling
Paggulpi ng lalaki  sa kanyang asawa
Paggulpi ng magulang sa kanilang anak
Karahasan laban sa ibang tao
Terorismo bilang pamamaraang pulitikal, ideolohikal, at panrelihiyon
Nagkakasira an pagkikipag-uri"
5,Burmese,my,"အောက်ပါဖော်ပြချက်တစ်ခုစီ၏အကြောင်း၊ ဤဖော်ပြချက်တစ်ခုစီကို သင်မည်မျှသဘောတူသည် သို့မဟုတ် သဘောမတူကြောင်း ကျေးဇူးပြု၍ဖြေကြားပါ။ ဤမေးခွန်းများအတွက် 1 သည် ""လုံးဝသဘောမတူသည်"" နှင့် 10 က ""လုံးဝသဘောတူသည်"" ကိုဆိုလိုသည်။ အဆင့်သတ်မှတ်ချက် 1 မှ 5 သည် အောက်ပါဖော်ပြချက်ကို သင်သဘောမတူကြောင်း ဆိုလိုသည်။ အဆင့်သတ်မှတ်ချက် 6 မှ 10 သည် အောက်ပါဖော်ပြချက်ကို သင်သဘောတူသည်ဟု ဆိုလိုသည်။ ကြေငြာချက်သည် အတိအကျသဘောတူနိုင်သည် သို့မဟုတ် သဘောမတူနိုင်ဟု သင်မထင်ပါက အဆိုပါထုတ်ပြန်ချက်ကို 5 သို့မဟုတ် 6 အမှတ်ဖြင့် အဆင့်သတ်မှတ်မည်ဖြစ်သည်။
သိပ္ပံနဲ့နည်းပညာကကျွန်တော်တို့ဘဝတွေကိုပိုကျန်းမာ၊ပိုလွယ်ကူ၊ပိုသက်တောင့်သက်သာဖြစ်စေတယ်။
သိပ္ပံနဲ့နည်းပညာကြောင့်နောက်မျိုးဆက်အတွက်အခွင့်အလမ်းတွေပိုများလာပါလိမ့်မယ်။
သိပ္ပံပညာကိုသိပ်မှီခိုပြီးယုံကြည်မှုကိုသိပ်မမှီခိုဘူး။
သိပ္ပံပညာရဲ့ဆိုးကျိုးတစ်ခုကလူတွေရဲ့မှန်ကန်၊မှားယွင်းတဲ့အယူအဆတွေကိုခွဲခြမ်းစိတ်ဖြာတာပါ။
နေ့စဉ်ဘဝမှာသိပ္ပံအကြောင်းသိဖို့ကကျွန်တော့အတွက်အရေးမကြီးပါဘူး။
အောက်ပါလုပ်ဆောင်ချက်တစ်ခုစီကိုဖြေကြားပေးပါ၊အမြဲတမ်းတရားမျှတနိုင်တယ်လို့သင်ထင်တာဖြစ်ဖြစ်၊ဘယ်တော့မှတရားမျှတနိုင်မှာမဟုတ်တာဖြစ်ဖြစ်၊ဒီစကေးကိုအသုံးပြုခြင်းကြားကတစ်ခုခုဖြစ်ဖြစ်ပါ။
Rating 1 ကဘယ်တော့မှတရားမျှတမှုမရှိတာကိုဆိုလိုပြီး rating 10 ကတော့အမြဲတမ်းတရားမျှတမှုရှိတာကိုဆိုလိုတာပါ။ အဆင့် ၁ ကနေ ၅ အထိကအောက်ပါကြေညာချက်ဟာမမျှတဘူးလို့သင်ထင်တာကိုဆိုလိုတာပါ။ ၆ ကနေ ၁၀ အထိအဆင့်သတ်မှတ်ချက်ကအောက်ပါပြောဆိုချက်ဟာအတော်လေးတရားမျှတတယ်လို့သင်ထင်တာကိုဆိုလိုတာပါ။ သင်ဟာဒီလုပ်ဆောင်မှုကိုလုံးဝတရားမျှတတယ်(သို့)မမျှတဘူးလို့မထင်ရင် ၅ မှတ်(သို့)၆ မှတ်နဲ့အဆင့်သတ်မှတ်လိမ့်မယ်။
သင်အခွင့်အရေးမရှိသောအစိုးရအကျိုးခံစားခွင့်များကိုတောင်းခံခြင်း
အများပြည်သူသယ်ယူပို့ဆောင်ရေးခကိုရှောင်ရှားခြင်း
ပိုင်ဆိုင်မှုကိုခိုးယူခြင်း
သင့်မှာအခွင့်အရေးရှိရင်အခွန်တွေကိုလိမ်လည်ခြင်း
တစ်ဦးဦးသည်၎င်း၏တာဝန်များအတွင်းလာဘ်စားမှုကိုလက်ခံခြင်း

လိင်တူဆက်ဆံခြင်း 
ပြည့်တန်ဆာမှု 
ကိုယ်ဝန်ဖျက်ချခြင်း 
ကွာရှင်းခြင်း
အိမ်ထောင်မပြုခင်လိင်ဆက်ဆံခြင်း
ကိုယ့်ကိုယ်ကိုသတ်သေခြင်း
သေစေခြင်း
သူ့ဇနီးကိုရိုက်နှက်ဖို့
မိဘများကကလေးများကိုရိုက်နှက်ခြင်း
အခြားသူများအပေါ်အကြမ်းဖက်မှု
အကြမ်းဖက်ဝါဒသည်နိုင်ငံရေး၊သဘောတရားဆိုင်ရာသို့မဟုတ်ဘာသာရေးဆိုင်ရာနည်းလမ်းတစ်ခုဖြစ်သည်။
သာမန်လိင်ဆက်ဆံခြင်း"
6,Catalan (Valencian),ca,"Si us plau, respongui sobre cadascuna de les següents afirmacions, quant està d'acord o en desacord amb cadascuna d'aquestes afirmacions. Per a aquestes preguntes, un 1 significa que ""no esteu completament d'acord"" i un 10 significa que ""esteu completament d'acord.""Les puntuacions de l' 1 al 5 signifiquen que no esteu d'acord amb la següent afirmació. Les valoracions de 6 a 10 signifiquen que preferiu estar d'acord amb la següent afirmació. Puntuareu la declaració amb una nota de 5 o 6 punts si no creieu que la declaració sigui exactament agradable o desagradable.
La ciència i la tecnología fan que les nostres vides siguin més sanes, més fàcils i més confortables.
Degut a la ciència i la tecnologia hi haurà més oportunitats per a la següent generació

Depenem massa de la ciència i massa poc de la fe
Una de las conseqüències dolentes de la ciència és que fa que la gent perdi la seva idea del bé i del mal
Per mi no és important saber de ciència en la meva vida diària
Si us plau, respongui sobre cadascuna de les accions següents, tant si creu que sempre es pot justificar, com si mai es pot justificar, o alguna cosa entremig utilitzant aquesta escala: La Qualificació 1 significa mai justificable, la qualificació 10 significa sempre justificable. Les puntuacions de l ' 1 al 5 signifiquen que creieu que la següent afirmació és bastant injustificable. Les puntuacions del 6 al 10 signifiquen que creieu que la següent afirmació és bastant justificable. Puntuareu l'acció amb una nota de 5 o 6 punts si no creieu que l'acció sigui exactament justificable o injustificable.

Reclamar beneficis de l’Estat als que no té dret 
Evitar pagar els bitllets de transport públic
Robar
Fer trampes per pagar menys impostos si es presenta l’oportunitat
Que algú accepti suborns exercint les seves funcions
L’homosexualitat
La prostitució
L’avortament
El divorci
Relacions sexuals prematrimonials
El suïcidi 
L’eutanàsia (acabar les vides dels malalts incurables)
Que un home pegui a la seva dona
Que els pares peguin els fills
La violència contra altres
El terrorisme com a mitjà polític, ideològic o religiós 1
Tenir una relació sexual casual"
7,Cebuano (Bisaya; Binisaya),ceb,"Palihug tubaga ang matag usa sa mga musunud nga pahayag, kung unsa ka daghan ang imong pag-uyon o dili mouyon sa matag usa niini nga mga pahayag. Alang sa kini nga mga pangutana, usa ka 1 nagpasabut nga ikaw ""hingpit nga dili mouyon"" ug usa ka 10 nagpasabut nga ikaw ""hingpit nga mouyon."" Ang mga rating gikan sa 1 hangtod sa 5 nagpasabut nga labi ka dili mouyon sa mosunod nga pahayag. Ang mga rating gikan sa 6 hangtod sa 10 nagpasabut nga ikaw labi ka uyon sa mosunod nga pahayag. I-rate nimo ang pahayag sa usa ka 5 o 6 puntos nga marka kung wala ka maghunahuna nga ang pahayag kanunay nga nahiuyon o dili mouyon.
Gibuhat ng siyensiya ug teknolohiya ang atong kinabuhi na mas himsog, mas dali ug mas komportable.
Tungod sa siyensiya ug teknolohiya, magkaadunay mas daghang oportunidad ang sunod nga henerasyon.  
Sobra ta nga naglaum sa siyensiya ug dili sakto sa pagtuo.
Usa sa dautang epekto sa siyensya giguba inii ang pagtuo sa mga tawo sa sakto ug sayup
Dili importante para sa akoa nga mahibal-an ang siyensiya sa akong pang-inadlaw-adlaw nga panginabuhi. 
Palihug tubaga ang mahitungod sa matag usa sa mosunod nga mga aksyon, sa imong hunahuna kini kanunay nga makatarunganon, dili gayud mahimong makatarunganon, o usa ka butang sa taliwala sa paggamit niini nga sukdanan.
Ang rating 1 nagpasabut nga dili gyud makatarunganon, ang rating 10 nagpasabut nga kanunay nga makatarunganon. Ang mga rating gikan sa 1 hangtod 5 nagpasabut nga sa imong hunahuna ang mosunod nga pahayag dili makatarunganon. Ang mga rating gikan sa 6 ngadto sa 10 nagpasabot nga sa imong hunahuna ang mosunod nga pahayag kay makatarunganon. Imong i-rate ang aksyon nga adunay marka nga 5 o 6 puntos kung sa imong hunahuna dili eksakto ang aksyon.
Pag-angkon sa mga benepisyo sa gobyerno nga dili naman nimo angay dawaton
Paglikay sa pagbayad ug plete sa sakyanang pangpubliko
Pagpangawat sa mga kabtangan
Panlimbong sa pagbayad og buhis kung ikaw naay higayon
Pagdawat og suhol para sa mga butang nga kalabutan sa trabaho 
Pagka-bayot o tomboy
Prostitusyon
Pagpakuha sa bata 
Diborsyo
Pakighilawas o sex bag-o ang kasal 
Pagpakamatay/pagwagtang sa kaugalingong kinabuhi
Pagwagtang sa kinabuhi sa usa ka tawong walay paglaum nga moayo
Paghampak sa lalaki sa iyahang asawa
Paghampak sa ginikanan sa ilahang anak
Kasamok batok sa ubang tawo
Terorismo isip pamaagi nga 
pulitikal, ideolohikal, ug 
panrelihiyon
Wala damha nga pakighilawas "
8,Chinese,zh,"请回答以下每个陈述，你对每个陈述有多少同意或不同意。 对于这些问题，a1表示您""完全不同意""，a10表示您""完全同意""。""从1到5的评级意味着你相当不同意下面的陈述。 从6到10的评级意味着您相当同意以下声明。 如果你不认为这个陈述是完全令人同意或令人不快的，你会给这个陈述评分5或6分。
科技使我們的生活更健康、更方便、也更舒適
因為科技發達，下一代將會有更多發展機會
我們太過依賴科學而不夠依靠信念。
科學其中一個壞處是顛覆了人們對與錯的看法。
對我來說在日常生活認識科學不重要。
请回答以下每个动作，你是否认为它总是可以被证明是合理的，永远不能被证明是合理的，或者在使用这个量表之间的一些事情。
等级1意味着永远没有正当理由，等级10意味着永远没有正当理由。 评级从1到5意味着你认为下面的陈述是相当不合理的。 从6到10的评级意味着您认为以下陈述相当合理。 如果你不认为这个动作是完全合理或不合理的，你会给这个动作评分5或6分。
向政府要求自己无权享受的福利 
逃票（乘坐公共汽车不买票）
偷盗 
有机会就逃税 
接受贿赂 
同性恋
卖淫
堕胎
离婚
婚前性行为
自杀 
安乐死 
打老婆 
父母打孩子 
针对他人的暴力行为 
恐怖主义 
随意的性行"
9,Czech,cs,"Lütfen aşağıdaki ifadelerin her biri hakkında, bu ifadelerin her birine ne kadar katıldığınızı veya katılmadığınızı yanıtlayın. Bu sorular için 1, “tamamen katılmadığınız” ve 10, “tamamen katıldığınız"" anlamına gelir.""1'den 5'e kadar olan derecelendirmeler, aşağıdaki ifadeye katılmadığınız anlamına gelir. 6'dan 10'a kadar olan derecelendirmeler, aşağıdaki ifadeye katılmayı tercih ettiğiniz anlamına gelir. İfadenin tam olarak kabul edilebilir veya kabul edilemez olduğunu düşünmüyorsanız, ifadeyi 5 veya 6 puanla derecelendirirsiniz.
Věda a technologie činí náš život zdravějším, snazším a pohodlnějším
Díky vědě a technologiím bude mít příští generace více příležitostí
Příliš spoléháme na vědu a málo na víru.
Jedním ze špatných účinků vědy je, že rozbíjí lidské představy o tom, co je správné a co ne
Pro můj každodenní život není sledování vědeckých poznatků důležité.
Odpovězte prosím na každou z následujících akcí, ať už si myslíte, že to lze vždy ospravedlnit, nikdy nelze ospravedlnit, nebo něco mezi tím pomocí této stupnice: hodnocení 1 znamená Nikdy ospravedlnitelné, hodnocení 10 znamená vždy ospravedlnitelné. Hodnocení od 1 do 5 znamená, že si myslíte, že následující tvrzení je spíše neospravedlnitelné. Hodnocení od 6 do 10 znamená, že si myslíte, že následující tvrzení je spíše ospravedlnitelné. Akci byste ohodnotili značkou 5 nebo 6 bodů, pokud si nemyslíte, že je akce přesně ospravedlnitelná nebo neospravedlnitelná.
Požádání o státní dávky, na které nemáte
nárok
Vyhnutí se jízdnému ve veřejné dopravě
Krádež majetku
Podvádění na daních, pokud máte možnost
Přijetí úplatku v rámci plnění služebních
povinností
Homosexualita
Prostituce
Potrat
Rozvod
Sex před manželstvím
Sebevražda
Eutanazie
Když muž bije svou ženu
Rodiče bijí děti
Násilí na jiných osobách
Terorismus jako politický, ideologický nebo
náboženský prostředek
Náhodný sex"
